date,A101-HU101,A102-HU102,A103A-HU103A,A103B-HU103B,A104-HU104,A202-HU202,A203-HU203,A204-HU204,A206-HU206,A207-HU207,A302-HU302,A303-HU303,A305-HU305,A306-HU306,A401-HU401,A402A-HU402A,A402B-HU402B,A403-HU403,A404A-HU404A,A404B-HU404B,A405-HU405,A407-HU407,A408A-HU408A,A408B-HU408B,A409A-HU409A,A409B-HU409B,A409C-HU409C,A500-HU500,A501-HU501,A502-HU502,A507-HU507,A508-HU508,A509-HU509,A510-HU510,A511-HU511,A512-HU512
1943-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1944-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,34.764,2.297,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.589000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1944-02-29,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.896,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1944-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,76.40100000000001,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.066,34.068000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1944-04-30,5.601000000000004,48.764,114.99599999999997,81.19,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,89.001,76.47200000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.505000000000003,29.254,26.492999999999995,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1944-05-31,9.462000000000002,72.188,150.90499999999994,101.01600000000002,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,118.26100000000004,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,47.091,40.109,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1944-06-30,10.622,81.482,166.72000000000003,105.49499999999996,186.132,271.1829999999999,176.91700000000003,77.06099999999998,276.03300000000013,160.95353637289745,125.52699999999996,168.502,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.716,1.38,56.23,46.93900000000001,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1944-07-31,11.694999999999991,53.398,177.626,112.398,200.856,288.1539999999999,176.898,80.335,285.75034400000004,185.192,128.69099999999997,164.637,122.661545,355.943,79.993,0.0,0.0,165.048,0.408,15.373,305.596,128.743,0.995,1.461,25.695,45.662000000000006,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,459.35120000000006,7.5000000000000036,21.0
1944-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,114.28800000000004,152.424,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,38.914,1.353,52.386,42.454,35.18599999999999,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1944-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,83.32900000000001,67.75300000000001,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1944-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,26.407,15.823,23.78,22.26599999999999,13.574000000000003,10.719,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1944-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.757,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1944-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1945-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,34.764,2.297,1.257,18.555,0.845,8.575999999999999,6.564,5.924,9.511,8.699999999999998,5.589000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1945-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,32.053,7.709999999999997,11.205000000000002,0.147,36.46,2.346,0.26,19.325000000000003,0.8979999999999999,15.896,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1945-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,76.40100000000001,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,29.168,40.927,34.068000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1945-04-30,5.601000000000004,48.764,114.99599999999997,78.49499999999998,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,94.14900000000002,76.47200000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,63.21,19.505000000000003,29.332,26.492999999999995,17.089000000000002,13.497,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1945-05-31,9.462000000000002,72.188,150.90499999999994,97.479,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,118.26100000000004,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,47.091,40.109,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1945-06-30,10.622,81.482,166.72000000000003,105.49499999999996,196.358,271.1829999999999,176.721,77.06099999999998,276.03300000000013,162.931,125.52699999999996,168.502,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.716,1.38,56.23,46.93900000000001,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1945-07-31,11.694999999999991,53.398,177.626,112.398,207.88768,288.1539999999999,176.678,80.335,285.75034400000004,185.192,128.69099999999997,164.637,122.661545,355.943,79.993,0.0,0.0,165.048,7.688,15.373,305.596,128.743,1.078,1.461,25.695,45.662000000000006,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1945-08-31,11.106000000000002,80.656,153.261,102.58699999999996,179.663,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,114.28800000000004,152.424,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,109.837,38.914,1.353,52.386,42.454,35.18599999999999,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1945-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,67.75300000000001,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1945-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,64.809,37.768,78.001,13.702,46.384,3.039,28.141,92.187,4.236000000000001,57.63999999999999,26.407,16.791,25.361,22.26599999999999,13.909000000000006,10.719,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1945-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.757,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1945-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1946-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,35.775000000000006,2.372,1.257,18.555,0.845,8.575999999999999,6.564,5.924,9.511,8.699999999999998,5.756000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1946-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,32.053,7.709999999999997,11.205000000000002,0.147,36.46,2.423,0.26,19.325000000000003,0.8979999999999999,15.896,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1946-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,76.40100000000001,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,29.168,40.927,34.068000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1946-04-30,5.601000000000004,48.764,114.99599999999997,78.49499999999998,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,94.14900000000002,76.47200000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.505000000000003,29.332,26.492999999999995,17.089000000000002,13.497,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1946-05-31,9.462000000000002,72.188,150.90499999999994,97.479,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,115.20000000000005,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,47.091,40.109,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1946-06-30,10.622,81.482,163.71900000000002,105.49499999999996,180.1275019573395,271.1829999999999,167.306,77.06099999999998,276.03300000000013,162.931,125.52699999999996,168.502,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.716,1.38,56.23,46.93900000000001,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1946-07-31,11.694999999999991,53.398,174.429,112.398,189.821,288.1539999999999,165.88299999999998,80.335,285.75034400000004,185.192,128.69099999999997,164.637,122.661545,355.943,79.993,0.0,0.0,165.048,2.5600000000000005,15.373,305.596,128.743,0.912,0.0,25.695,44.118,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1946-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,110.64300000000004,152.424,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,38.914,1.353,52.386,42.454,35.18599999999999,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1946-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,67.75300000000001,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1946-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,64.809,37.768,78.001,13.702,46.384,3.039,28.141,92.187,4.236000000000001,57.63999999999999,26.407,16.791,25.361,22.26599999999999,13.909000000000006,10.719,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1946-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1946-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1947-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,34.764,2.297,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.589000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1947-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.896,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1947-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,73.435,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.008,32.751000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1947-04-30,5.601000000000004,48.764,114.99599999999997,81.19,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,85.346,74.34800000000001,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.481,29.254,26.492999999999995,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1947-05-31,9.462000000000002,72.188,150.90499999999994,101.01600000000002,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,118.26100000000004,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,45.499,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1947-06-30,10.622,81.482,166.72000000000003,105.49499999999996,186.132,271.1829999999999,167.11,77.06099999999998,276.03300000000013,162.931,125.52699999999996,168.502,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.644,1.265,54.162000000000006,45.572,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1947-07-31,11.694999999999991,53.398,177.626,112.398,200.856,288.1539999999999,155.308,80.335,285.75034400000004,185.192,128.69099999999997,164.637,122.661545,355.943,79.993,0.0,0.0,165.048,2.08,15.373,305.596,128.743,0.912,0.0,25.695,44.118,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1947-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,110.64300000000004,152.424,100.818,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,38.844,1.24,52.386,40.69500000000001,35.18599999999999,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1947-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,65.92200000000003,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1947-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,25.043,15.823,23.78,22.26599999999999,13.574000000000003,10.392,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1947-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1947-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1948-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,34.764,2.372,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.468000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1948-02-29,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.101,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1948-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,73.435,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.008,32.751000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1948-04-30,5.601000000000004,54.64089999999999,114.99599999999997,78.49499999999998,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,90.494,76.47200000000002,173.813,52.71999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.505000000000003,29.332,25.611,17.089000000000002,13.085,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1948-05-31,9.462000000000002,72.188,150.90499999999994,97.479,171.94199999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,115.20000000000005,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,45.499,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1948-06-30,10.622,81.482,166.72000000000003,105.49499999999996,196.358,271.1829999999999,167.11,77.06099999999998,269.6470000000001,162.931,125.52699999999996,168.502,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.644,1.265,54.162000000000006,46.93900000000001,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1948-07-31,11.694999999999991,54.64089999999999,177.626,112.398,200.856,288.1539999999999,155.088,80.335,285.75034400000004,185.192,128.69099999999997,164.637,122.661545,355.943,79.993,0.0,0.0,165.048,0.928,15.373,305.596,128.743,0.912,0.0,25.695,44.118,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,459.35120000000006,7.5000000000000036,21.0
1948-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,153.97700000000003,66.35499999999998,219.77600000000004,171.611,110.64300000000004,152.424,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,38.914,1.24,52.386,40.69500000000001,35.18599999999999,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1948-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,65.92200000000003,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1948-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,64.809,37.768,78.001,13.702,46.384,3.039,28.141,92.187,4.236000000000001,57.63999999999999,25.043,16.791,23.78,22.26599999999999,13.574000000000003,10.719,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1948-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1948-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1949-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,34.764,2.297,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.589000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1949-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.101,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1949-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,76.40100000000001,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,40.927,32.751000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1949-04-30,5.601000000000004,48.764,114.99599999999997,78.49499999999998,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,85.346,76.47200000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.481,29.254,25.611,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1949-05-31,9.462000000000002,72.188,150.90499999999994,101.01600000000002,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,118.26100000000004,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,45.499,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1949-06-30,10.622,81.482,166.72000000000003,105.49499999999996,186.132,271.1829999999999,157.49900000000002,77.06099999999998,276.03300000000013,162.931,125.52699999999996,168.502,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.644,1.265,54.162000000000006,45.572,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
